SpecName,accGenus,accSpecies,PalmTribe,PalmSubfamily,Climbing,Acaulescence,Errect,UnderstoreyCanopy,StemSolitary,MaxStemHeight_m,MaxStemDia_cm,StemArmed,LeavesArmed,MaxLeafNumber,Max_Blade_Length_m,Max_Rachis_Length_m,Max_Petiole_length_m,AverageFruitLength_cm,MinFruitLength_cm,MaxFruitLength_cm,AverageFruitWidth_cm,MinFruitWidth_cm,MaxFruitWidth_cm,FruitSizeBinary,FruitShape,FruitColor,FruitTexture,FruitColorChange,FruitNotes,Extra reference / note
Calamus arborescens,Calamus,arborescens,Calameae,Calamoideae,0,0,1,canopy,0,10,6.5,0,1,15,4,4,,2.2,,,1.5,,,small,globose,yellowish to reddish brown,overlapping scales,,,
Calamus arfakianus,Calamus,arfakianus,Calameae,Calamoideae,1,0,0,canopy,,,,0,1,,,,,,,,,,,,globose,,overlapping scales,,,
Calamus aruensis,Calamus,aruensis,Calameae,Calamoideae,1,0,0,canopy,2,50,5,0,1,,5.9,5,,1.1,,,1.1,0.8,1.4,small,,cream-white,overlapping scales shallowly channeled,,,
Calamus arugda,Calamus,arugda,Calameae,Calamoideae,1,0,0,canopy,,,,0,1,,,,,,,,,,,,elongate,,overlapping scales,,,
Calamus ashtonii,Calamus,ashtonii,Calameae,Calamoideae,0,1,0,canopy,1,20,2,1,1,,1.5,,0.1,0.75,,,0.7,,,small,globose,pale light brown,overlapping scales,,,Kew herbaria
Calamus asperrimus,Calamus,asperrimus,Calameae,Calamoideae,1,0,0,canopy,,,,0,1,,,,,,,,,,,,ovoid,,overlapping scales,,,
Calamus australis,Calamus,australis,Calameae,Calamoideae,1,0,0,canopy,1,35,2.5,0,1,,2,1.85,0.17,1.3,1.1,1.5,1.2,0.9,1.5,small,ovoid,"cream to pale brown, scale margins reddish;",overlapping scales,,Fruit: cream to pale brown at maturity,
Calamus austroguangxiensis,Calamus,austroguangxiensis,Calameae,Calamoideae,1,0,0,canopy,0,10,1.5,0,1,,0.9,0.9,,1.8,,,1.2,,,small,ovoid,yellowish brown,overlapping scales,,,
Calamus axillaris,Calamus,axillaris,Calameae,Calamoideae,1,0,0,canopy,0,40,2.5,0,1,,1.5,1.5,,1.1,,,0.9,,,small,ovoid,brownish yellow,overlapping scales,,,
Calamus bachmaensis,Calamus,bachmaensis,Calameae,Calamoideae,1,0,0,canopy,,,,0,1,,,,,,,,,,,,,,,,,
Calamus bacularis,Calamus,bacularis,Calameae,Calamoideae,0,0,1,understorey,1,2,30,0,1,,3,2,,0.7,,,0.6,,,small,,reddish,overlapping scales,,,Kew herbaria
Calamus balerensis,Calamus,balerensis,Calameae,Calamoideae,1,0,0,canopy,,,,0,1,,,,,,,,,,,,,,overlapping scales,,,
Calamus balingensis,Calamus,balingensis,Calameae,Calamoideae,1,0,0,canopy,1,12,1.5,0,1,,1.75,,0.22,0.8,,,0.7,,,small,elongate,green,overlapping scales,,,
Calamus bankae,Calamus,bankae,Calameae,Calamoideae,1,0,0,canopy,,,11,0,1,,0.74,0.74,,,,,,,,,ovoid,,overlapping scales,,,
Calamus baratangensis,Calamus,baratangensis,Calameae,Calamoideae,1,0,0,canopy,0,25,2,0,1,,1,1,,1.25,,,0.9,,,small,globose,,overlapping scales,,,
Calamus barbatus,Calamus,barbatus,Calameae,Calamoideae,1,0,0,canopy,0,15,2,0,1,,1.1,1.1,,,,,,,,,globose,,overlapping scales,,,
Calamus basui,Calamus,basui,Calameae,Calamoideae,1,0,0,canopy,0,20,3,0,1,,1,1,,1.5,,,1,,,small,ovoid,,overlapping scales,,,
Calamus batanensis,Calamus,batanensis,Calameae,Calamoideae,1,0,0,canopy,,,,0,1,,,,,1,,,0.50,,,small,globose,blacksih purple,overlapping scales,,,Kew herbaria
Calamus beccarii,Calamus,beccarii,Calameae,Calamoideae,1,0,0,canopy,0,50,4,0,1,,0.8,0.8,,1.2,,,1.2,,,small,,yellowish-brown,overlapping scales,,,
Calamus benkulensis,Calamus,benkulensis,Calameae,Calamoideae,1,0,0,canopy,0,20,1,0,1,,1,1,0,0.6,,,0.4,,,small,ovoid,young fruit reddish brown,overlapping scales,,,Kew herbaria
Calamus bicolor,Calamus,bicolor,Calameae,Calamoideae,1,0,0,canopy,,,,0,1,,,,,0.3,,,0.20,,,small,globose,pale pink,overlapping scales,,,kew herbaria
Calamus billitonensis,Calamus,billitonensis,Calameae,Calamoideae,1,0,0,canopy,,,,0,1,,,,,,,,,,,,globose,,overlapping scales,,,
Calamus bimaniferus,Calamus,bimaniferus,Calameae,Calamoideae,1,0,0,both,0,3,1,0,1,,0.4,0.4,,0.8,,,0.8,,,small,globose,yellowish brown,overlapping scales,,,
Calamus blumei,Calamus,blumei,Calameae,Calamoideae,1,0,0,canopy,2,60,2,0,1,,1,0.75,0.28,2.2,,,1.7,,,small,ovoid,whitish or yellowish or green,overlapping scales,,,Kew herbaria
Calamus boniensis,Calamus,boniensis,Calameae,Calamoideae,1,0,0,canopy,,35,,0,1,,1.2,,,,,,,,,,globose,,overlapping scales,,,
Calamus bousigonii,Calamus,bousigonii,Calameae,Calamoideae,1,0,0,canopy,2,20,1.6,0,1,,1.4,1,0.45,1.8,,,1.4,,,small,ovoid,yellowish,overlapping scales,,,
Calamus brandisii,Calamus,brandisii,Calameae,Calamoideae,1,0,0,canopy,0,15,1.5,0,1,,,,,1,,,0.7,,,small,ovoid,,overlapping scales,,,
Calamus brassii,Calamus,brassii,Calameae,Calamoideae,1,0,0,canopy,,,,0,1,,,,,,,,,,,,globose,,overlapping scales,,,
Calamus brevifolius,Calamus,brevifolius,Calameae,Calamoideae,1,0,0,canopy,,,,0,1,,,,,,,,,,,,ovoid,,overlapping scales,,,
Calamus burckianus,Calamus,burckianus,Calameae,Calamoideae,1,0,0,canopy,0,25,6,0,1,,5,5,,0.6,,,0.4,,,small,ovoid,,overlapping scales,,,
Calamus burkillianus,Calamus,burkillianus,Calameae,Calamoideae,1,0,0,canopy,0,20,4,0,1,,1.5,1.1,0.45,1.2,,,0.6,,,small,ovoid,whitish,overlapping scales,,,
Calamus buroensis,Calamus,buroensis,Calameae,Calamoideae,1,0,0,canopy,,,,0,1,,,,,,,,,,,,globose,,overlapping scales,,,
Calamus caesius,Calamus,caesius,Calameae,Calamoideae,1,0,0,canopy,0,100,2,0,1,,1.5,1.5,,1.5,,,1,,,small,ovoid,greenish white,overlapping scales,,,
Calamus calospathus,Calamus,calospathus,Calameae,Calamoideae,2,0,2,canopy,1,10,6.5,0,1,,3,2.5,0.55,2.48,,,2.29,,,small,ovoid,yellowish green,overlapping scales,,,Kew herbaria
Calamus caryotoides,Calamus,caryotoides,Calameae,Calamoideae,1,0,0,canopy,0,15,2,0,1,,0.4,,,1.5,1,2,1.15,0.8,1.5,small,globose,cream yellow to pale brown,overlapping scales,,Fruit: NB diam and wide?,
Calamus castaneus,Calamus,castaneus,Calameae,Calamoideae,0,1,0,understorey,0,1.5,20,0,1,,5,4.1,0.85,2.5,,,1.8,,,small,ovoid,brown,overlapping scales,,,
Calamus cawa,Calamus,cawa,Calameae,Calamoideae,1,0,0,canopy,,,,0,1,,0.8,0.8,,,,,,,,,ovoid,,overlapping scales,,,
Calamus centralis,Calamus,centralis,Calameae,Calamoideae,1,0,0,canopy,0,20,1,0,1,,0.8,0.8,,,,,,,,,ovoid,,overlapping scales,,,
Calamus ceratophorus,Calamus,ceratophorus,Calameae,Calamoideae,1,0,0,canopy,1,30,3,0,1,,1.5,1.25,0.28,1.9,,,0.8,,,small,globose,yellowish,overlapping scales,,,
Calamus ciliaris,Calamus,ciliaris,Calameae,Calamoideae,1,0,0,canopy,2,25,3,0,1,,0.7,0.5,0.22,0.9,,,0.7,,,small,,sarcotesta green,overlapping scales,,,Kew herbaria
Calamus cockburnii,Calamus,cockburnii,Calameae,Calamoideae,0,1,0,understorey,,0.08,1.5,0,1,,0.9,0.9,,1,,,1,,,small,ovoid,,overlapping scales,,,
Calamus compsostachys,Calamus,compsostachys,Calameae,Calamoideae,1,0,0,canopy,0,10,1,0,1,,0.7,0.7,,1,,,0.8,,,small,globose,yellowish,overlapping scales,,,
Calamus comptus,Calamus,comptus,Calameae,Calamoideae,1,0,0,canopy,2,10,2.7,0,1,,0.9,0.9,,0.7,,,0.6,,,small,ovoid,ivory white,overlapping scales,,,Kew herbaria
Calamus concinnus,Calamus,concinnus,Calameae,Calamoideae,0,0,1,canopy,0,6,8,0,1,,4.3,3.5,,0.8,,,0.8,,,small,ovoid,yellowish,overlapping scales,,,
Calamus congestiflorus,Calamus,congestiflorus,Calameae,Calamoideae,1,0,0,canopy,0,20,5,0,1,,0.3,,,,,,,,,,ovoid,,overlapping scales,,,
Calamus conirostris,Calamus,conirostris,Calameae,Calamoideae,1,0,0,canopy,2,10,1,0,1,,3.64,,0.565,3,,,2,,,small,ovoid,"jet black, glossy brownish-black",overlapping scales,,,Kew herbaria
Calamus conjugatus,Calamus,conjugatus,Calameae,Calamoideae,0,1,0,understorey,0,0,,0,1,,,,,,,,,,,,,,overlapping scales,,,
Calamus convallium,Calamus,convallium,Calameae,Calamoideae,1,0,0,canopy,0,20,1.5,0,1,,1.2,,,3.12,,,1.20,1.1,1.3,small,ovoid,greeny-brown,overlapping scales,,,Kew herbaria
Calamus corneri,Calamus,corneri,Calameae,Calamoideae,1,0,0,canopy,0,20,0.5,0,1,,0.6,0.5,0.14,,,,,,,,ovoid,,overlapping scales,,,
Calamus corrugatus,Calamus,corrugatus,Calameae,Calamoideae,1,0,0,canopy,0,15,0.5,0,1,,0.35,0.35,,1,,,0.7,,,small,globose,,overlapping scales,,,
Calamus crassifolius,Calamus,crassifolius,Calameae,Calamoideae,1,0,0,canopy,0,10,1.8,0,1,,0.75,0.7,0.07,,,,,,,,,,overlapping scales,,,
Calamus crispus,Calamus,crispus,Calameae,Calamoideae,1,0,0,canopy,0,10,1.8,0,1,,0.4,0.4,,,,,,,,,globose,,overlapping scales,,,
Calamus cumingianus,Calamus,cumingianus,Calameae,Calamoideae,1,0,0,canopy,,,,0,1,,,,,0.65,,,0.57,,,small,,green,overlapping scales,,,kew herbaria
Calamus curag,Calamus,curag,Calameae,Calamoideae,1,0,0,canopy,,,,0,1,,,,,,,,,,,,elongate,,overlapping scales,,,
Calamus cuthbertsonii,Calamus,cuthbertsonii,Calameae,Calamoideae,1,0,0,canopy,,,,0,1,,,,,,,,,,,,globose,,overlapping scales,,,
Calamus dasyacanthus,Calamus,dasyacanthus,Calameae,Calamoideae,1,0,0,canopy,1,15,4.5,0,1,,5,5,,1.09,0.9,1.28,0.95,0.85,1,small,,shiny yellow,overlapping scales,,,kew herbaria
Calamus deerratus,Calamus,deerratus,Calameae,Calamoideae,1,0,0,canopy,0,20,3,0,1,,1.75,,,1.5,,,1,,,small,ovoid,"brown, orange","dull, pale brown scales",,,Kew herbaria
Calamus delessertianus,Calamus,delessertianus,Calameae,Calamoideae,1,0,0,canopy,1,40,5,0,1,,2,2,,1.5,,,1.5,,,small,globose,yellowish,overlapping scales,,,
Calamus delicatulus,Calamus,delicatulus,Calameae,Calamoideae,1,0,0,canopy,0,10,2,0,1,,1,1,,1,,,1,,,small,ovoid,yellowish,overlapping scales,,,
Calamus densiflorus,Calamus,densiflorus,Calameae,Calamoideae,1,0,0,canopy,0,40,4,0,1,,2,2,,2,,,1.2,,,small,ovoid,"yellowish, glossy dark green",overlapping scales,,,Kew herbaria
Calamus depauperatus,Calamus,depauperatus,Calameae,Calamoideae,1,0,0,canopy,,,,0,1,,,,,,,,,,,,globose,,overlapping scales,,,
Calamus dianbaiensis,Calamus,dianbaiensis,Calameae,Calamoideae,0,0,1,understorey,0,4,7,0,1,,3,3,,2,,,1.5,,,small,ovoid,brownish,overlapping  grooved scales,,,
Calamus didymocarpus,Calamus,didymocarpus,Calameae,Calamoideae,1,0,0,canopy,,,,0,1,,,,,1.02,,,0.85,,,small,globose,yellowish green,overlapping scales,,,Kew herbaria
Calamus diepenhorstii,Calamus,diepenhorstii,Calameae,Calamoideae,1,0,0,canopy,0,20,3.5,0,1,,1.8,1.8,,2,,,1.7,,,small,elongate,"brownish or yellowish, orange-brown",overlapping scales,,,Kew herbaria
Calamus digitatus,Calamus,digitatus,Calameae,Calamoideae,1,0,0,canopy,0,5,1,0,1,,,,,1,,,1,,,small,pyramidal,yellow,overlapping scales,,,
Calamus dilaceratus,Calamus,dilaceratus,Calameae,Calamoideae,1,0,0,canopy,0,20,4,0,1,,2,2,,1,,,0.8,,,small,,yellow,overlapping scales,,,
Calamus dimorphacanthus,Calamus,dimorphacanthus,Calameae,Calamoideae,1,0,0,canopy,,,,0,1,,,,,0.6,,,0.50,,,small,,green,overlapping scales,,,Kew herbaria
Calamus dioicus,Calamus,dioicus,Calameae,Calamoideae,1,0,0,canopy,0,10,0.4,0,1,,0.22,0.22,,0.8,,,0.8,,,small,,yellowish white,overlapping scales,,,
Calamus discolor,Calamus,discolor,Calameae,Calamoideae,1,0,0,canopy,,,3.6,0,1,,,,,,,,,,,,ovoid,,overlapping scales,,,
Calamus distentus,Calamus,distentus,Calameae,Calamoideae,1,0,0,canopy,1,8,30,0,1,,0.84,,,,,,,,,,ovoid,,overlapping scales,,,
Calamus divaricatus,Calamus,divaricatus,Calameae,Calamoideae,1,0,0,canopy,0,15,7.5,0,1,,1,,,1.5,1.4,1.6,0.90,,,small,globose,"chestnut, purple brown",overlapping scales,,,Kew herbaria
Calamus dongnaiensis,Calamus,dongnaiensis,Calameae,Calamoideae,0,0,1,understorey,0,0,,0,1,,,,,3,,,1.5,,,small,globose,brown,"overlapping scales, scale margins whitish",,,
Calamus dransfieldii,Calamus,dransfieldii,Calameae,Calamoideae,1,0,0,canopy,1,22,3.5,0,1,,1.5,1.5,,1.8,,,1.8,,,small,,yellow,overlapping scales,,,
Calamus egregius,Calamus,egregius,Calameae,Calamoideae,1,0,0,canopy,0,50,5,0,1,,1.5,1.5,,2,,,1.6,,,small,globose,brown,overlapping grooved scales,,,
Calamus elmerianus,Calamus,elmerianus,Calameae,Calamoideae,1,0,0,canopy,,,,0,1,,,,,,,,,,,,globose,,overlapping scales,,,
Calamus elopurensis,Calamus,elopurensis,Calameae,Calamoideae,1,0,0,canopy,0,7,0.6,0,1,,0.4,,,,,,,,,,elongate,,overlapping scales,,,
Calamus endauensis,Calamus,endauensis,Calameae,Calamoideae,1,0,0,canopy,0,25,0.7,0,1,,,,,,,,,,,,globose,,overlapping scales,,,
Calamus epetiolaris,Calamus,epetiolaris,Calameae,Calamoideae,1,0,0,canopy,,,,0,1,,,,,,,,,,,,globose,,overlapping scales,,,
Calamus equestris,Calamus,equestris,Calameae,Calamoideae,1,0,0,canopy,,,,0,1,,,,,,,,,,,,ovoid,,overlapping scales,,,
Calamus erectus,Calamus,erectus,Calameae,Calamoideae,0,0,1,canopy,0,6,5,0,1,,3,3,,5,,,2.5,,,large,,greenish or reddish brown,overlapping grooved scales,,,
Calamus erinaceus,Calamus,erinaceus,Calameae,Calamoideae,1,0,0,canopy,0,15,6,0,1,,2.5,2.5,,1,,,1,,,small,ovoid,"yellowish, grey green",overlapping scales,,,Kew herbaria
Calamus erioacanthus,Calamus,erioacanthus,Calameae,Calamoideae,1,0,0,canopy,,10,1.8,0,1,,1.5,1.5,,1.7,,,1.5,,,small,,"pale straw-coloured, blotched and tinged with reddish-brown",overlapping scales,,,palmpedia
Calamus essigii,Calamus,essigii,Calameae,Calamoideae,1,0,0,canopy,0,8,0.5,0,1,,0.29,0.29,,0.95,,,0.9,,,small,elongate,,overlapping scales,,,
Calamus evansii,Calamus,evansii,Calameae,Calamoideae,1,0,0,canopy,0,7,1.3,0,1,,0.5,0.5,,,,,,,,,,,overlapping scales,,,
Calamus exilis,Calamus,exilis,Calameae,Calamoideae,1,0,0,canopy,2,15,2.5,0,1,,0.7,0.7,,1.6,,,1.2,,,small,ovoid,yellowish; yellow-brown; dark brown,overlapping scales,,,Kew herbaria
Calamus eximius,Calamus,eximius,Calameae,Calamoideae,1,0,0,canopy,1,18,35,0,1,,1.8,,,,,,,,,,ovoid,,overlapping scales,,,
Calamus faberi,Calamus,faberi,Calameae,Calamoideae,1,0,0,canopy,0,15,2,0,1,,0.75,0.75,,,,,,,,,ovoid,yellowish,overlapping scales,,,
Calamus farinosus,Calamus,farinosus,Calameae,Calamoideae,1,0,0,canopy,,,,0,1,,,,,,,,,,,,ovoid,,overlapping scales,,,
Calamus fertilis,Calamus,fertilis,Calameae,Calamoideae,1,0,0,canopy,2,30,4.5,0,1,,2.54,2.2,,1.48,1.15,1.8,0.85,0.75,1,small,ovoid,white,overlapping scales,,,Kew herbaria
Calamus filipendulus,Calamus,filipendulus,Calameae,Calamoideae,1,0,0,canopy,0,5,0.6,0,1,,1,1,,1.4,,,0.9,,,small,,"cream, straw colour to yellowish with tin brown margins",overlapping scales,,,Kew herbaria
Calamus filispadix,Calamus,filispadix,Calameae,Calamoideae,1,0,0,canopy,,,,0,1,,,,,1.15,,,0.90,,,small,,,overlapping scales,,,Kew herbaria
Calamus fimbriatus,Calamus,fimbriatus,Calameae,Calamoideae,1,0,0,canopy,0,,1.65,0,1,,,,,,,,,,,,ovoid,,overlapping scales,,,
Calamus fissijugatus,Calamus,fissijugatus,Calameae,Calamoideae,1,0,0,canopy,,,3.6,0,1,,0.3,0.3,,,,,,,,,,,overlapping scales,,,
Calamus flabellatus,Calamus,flabellatus,Calameae,Calamoideae,1,0,0,canopy,0,30,0.6,0,1,,0.45,,,1.1,,,0.7,,,small,,greenish,overlapping scales,,,
Calamus flagellum,Calamus,flagellum,Calameae,Calamoideae,1,0,0,canopy,0,30,5,0,1,,3,3,,3,,,2.1,2,2.2,small,globose,yellowish or brownish,overlapping grooved scales,,,
Calamus floribundus,Calamus,floribundus,Calameae,Calamoideae,1,0,0,canopy,0,6,2.5,0,1,,0.6,0.6,,1.2,,,1,,,small,ovoid,yellowish,overlapping scales,,,
Calamus formosanus,Calamus,formosanus,Calameae,Calamoideae,1,0,0,canopy,0,20,5,0,1,,2,2,,2,,,1,,,small,globose,brownish or yellowish,overlapping scales,,,
Calamus foxworthyi,Calamus,foxworthyi,Calameae,Calamoideae,1,0,0,canopy,,,,0,1,,,,,,,,,,,,ovoid,,overlapping scales,,,
Calamus fuscus,Calamus,fuscus,Calameae,Calamoideae,1,0,0,canopy,,,,0,1,,,,,,,,,,,,globose,,overlapping scales,,,
Calamus gamblei,Calamus,gamblei,Calameae,Calamoideae,1,0,0,canopy,0,30,2.5,0,1,,1,1,,2,,,2,,,small,ovoid,yellow,overlapping scales,,,
Calamus gibbsianus,Calamus,gibbsianus,Calameae,Calamoideae,1,0,0,canopy,0,8,0.8,0,1,,0.6,0.6,,1.6,,,1.2,,,small,ovoid,pale brown,overlapping scales,,,
Calamus godefroyi,Calamus,godefroyi,Calameae,Calamoideae,1,0,0,canopy,0,30,1.5,0,1,,1,1,,1.6,,,1.2,,,small,ovoid,yellowish or whitish,overlapping scales,,,
Calamus gogolensis,Calamus,gogolensis,Calameae,Calamoideae,1,0,0,canopy,,,,0,1,,,,,,,,,,,,ovoid,,overlapping scales,,,
Calamus gonospermus,Calamus,gonospermus,Calameae,Calamoideae,1,0,0,canopy,0,10,8,0,1,,0.45,,,2,,,1.54,,,small,globose,pale brown,overlapping scales,,,Kew herbaria
Calamus gracilis,Calamus,gracilis,Calameae,Calamoideae,1,0,0,canopy,0,30,2,0,1,,0.7,0.7,,2.7,,,2,,,small,,yellowish or orange,overlapping groved scales,,,
Calamus graminosus,Calamus,graminosus,Calameae,Calamoideae,1,0,0,canopy,,,,0,1,,,,,,,,,,,,globose,,overlapping scales,,,
Calamus grandifolius,Calamus,grandifolius,Calameae,Calamoideae,1,0,0,canopy,,,,0,1,,,,,,,,,,,,ovoid,,overlapping scales,,,
Calamus gregisectus,Calamus,gregisectus,Calameae,Calamoideae,1,0,0,canopy,,,,0,1,,,,,,,,,,,,ovoid,,overlapping scales,,,
Calamus griseus,Calamus,griseus,Calameae,Calamoideae,1,0,0,canopy,0,5,0.8,0,1,,0.3,0.3,,0.7,,,0.4,,,small,ovoid,brownish or yellowish,overlapping scales,,,
Calamus guruba,Calamus,guruba,Calameae,Calamoideae,1,0,0,canopy,0,20,3,0,1,,1.3,1.3,,0.8,,,0.8,,,small,ovoid,yellowish or brownish,overlapping scales,,,
Calamus hainanensis,Calamus,hainanensis,Calameae,Calamoideae,1,0,0,canopy,,,,0,1,,,,,,,,,,,,,,,,,
Calamus halmaherensis,Calamus,halmaherensis,Calameae,Calamoideae,1,0,0,canopy,,,,0,1,,,,,,,,,,,,ovoid,,overlapping scales,,,
Calamus harmandii,Calamus,harmandii,Calameae,Calamoideae,0,1,0,understorey,1,1.1,4,0,1,,1,1,,1.2,,,0.9,,,small,,brownish or yellowish,overlapping scales,,,
Calamus hartmannii,Calamus,hartmannii,Calameae,Calamoideae,1,0,0,canopy,,,,0,1,,,,,,,,,,,,ovoid,,overlapping scales,,,
Calamus henryanus,Calamus,henryanus,Calameae,Calamoideae,1,0,0,canopy,0,20,1.8,0,1,,1.3,1.3,,1.5,,,1,,,small,,yellowish brown; straw coloured,overlapping scales,,,
Calamus hepburnii,Calamus,hepburnii,Calameae,Calamoideae,1,0,0,canopy,0,20,0.8,0,1,,1,1,,,,,,,,,globose,,overlapping scales,,,
Calamus heteracanthus,Calamus,heteracanthus,Calameae,Calamoideae,1,0,0,canopy,1,25,35,0,1,,3.3,3.25,,,,,,,,,globose,,overlapping scales,,,
Calamus heteroideus,Calamus,heteroideus,Calameae,Calamoideae,1,0,0,canopy,,,,0,1,,,,,0.94,,,0.75,,,small,,white to grey,overlapping scales,,,Kew herbaria
Calamus hispidulus,Calamus,hispidulus,Calameae,Calamoideae,1,0,0,canopy,1,10,1.4,0,1,,0.55,0.55,,2,,,0.8,,,small,ovoid,"green with brown tip, purple",overlapping scales,,,Kew herbaria
Calamus holttumii,Calamus,holttumii,Calameae,Calamoideae,1,0,0,canopy,1,15,1,0,1,,1,1,,1,,,0.95,,,small,ovoid,young fruits green,overlapping scales,,,Kew herbaria
Calamus hookerianus,Calamus,hookerianus,Calameae,Calamoideae,1,0,0,canopy,0,10,4,0,1,,1.3,1.3,,1,,,1,,,small,globose,yellowish brown,overlapping scales,,,
Calamus hukaungensis,Calamus,hukaungensis,Calameae,Calamoideae,1,0,0,both,0,4,1,0,1,,0.3,0.3,,,,,,,,,globose,,overlapping scales,,,
Calamus humboldtianus,Calamus,humboldtianus,Calameae,Calamoideae,1,0,0,canopy,0,10,6,1,1,,1.17,,,,,,,,,,ovoid,,overlapping scales,,,
Calamus hypertrichosus,Calamus,hypertrichosus,Calameae,Calamoideae,1,0,0,both,0,3,0.6,0,1,,0.4,0.4,,,,,,,,,,,overlapping scales,,,
Calamus hypoleucus,Calamus,hypoleucus,Calameae,Calamoideae,1,0,0,canopy,,,0.8,0,1,,0.3,0.3,,,,,,,,,globose,,overlapping scales,,,
Calamus impar,Calamus,impar,Calameae,Calamoideae,1,0,0,canopy,,,0.6,0,1,,,,,,,,,,,,ovoid,,overlapping scales,,,
Calamus inops,Calamus,inops,Calameae,Calamoideae,1,0,0,canopy,,,,0,1,,,,,,,,,,,,ovoid,,overlapping scales,,,
Calamus insignis,Calamus,insignis,Calameae,Calamoideae,1,0,0,canopy,2,40,2,0,1,,2.09,2,,1.1,1,1.2,0.7,,,small,ovoid,"yellowish, pale yellowish-brown",overlapping scales,,,
Calamus interruptus,Calamus,interruptus,Calameae,Calamoideae,1,0,0,canopy,,,,0,1,,,,,,,,,,,,ovoid,,overlapping scales,,,
Calamus javensis,Calamus,javensis,Calameae,Calamoideae,1,0,0,canopy,0,10,1,0,1,,0.6,0.6,,1.35,1.2,1.5,1,0.8,1.2,small,globose,"whitish, greenish white",overlapping scales,,,
Calamus jenningsianus,Calamus,jenningsianus,Calameae,Calamoideae,1,0,0,canopy,,,,0,1,,,,,2,,,1.70,,,small,,purple and white,overlapping scales,,,kew herbaria
Calamus kandariensis,Calamus,kandariensis,Calameae,Calamoideae,1,0,0,canopy,,,,0,1,,,,,,,,,,,,globose,,overlapping scales,,,
Calamus karnatakensis,Calamus,karnatakensis,Calameae,Calamoideae,1,0,0,canopy,0,35,3,0,1,,1.2,1.2,,0.8,,,0.8,,,small,ovoid,yellowish,overlapping scales,,,
Calamus karuensis,Calamus,karuensis,Calameae,Calamoideae,1,0,0,canopy,,,,0,1,,,,,,,,,,,,globose,black,overlapping scales,,,Kew herbaria
Calamus keyensis,Calamus,keyensis,Calameae,Calamoideae,1,0,0,canopy,,,,0,1,,,,,,,,,,,,ovoid,,overlapping scales,,,
Calamus kiahii,Calamus,kiahii,Calameae,Calamoideae,2,0,2,canopy,0,10,1,0,1,,1.1,1.1,,2.5,2,,2,,,small,ovoid,pale grey to green to brown,overlapping scales,,,Kew herbaria
Calamus kingianus,Calamus,kingianus,Calameae,Calamoideae,1,0,0,canopy,0,5,1.2,0,1,,0.6,0.6,,1,,,1,,,small,,yellowish,overlapping scales,,,
Calamus kjellbergii,Calamus,kjellbergii,Calameae,Calamoideae,1,0,0,canopy,,,,0,1,,,,,,,,,,,,globose,,overlapping scales,,,
Calamus klossii,Calamus,klossii,Calameae,Calamoideae,1,0,0,canopy,,,,0,1,,0.3,0.3,,,,,,,,,ovoid,,overlapping scales,,,
Calamus kontumensis,Calamus,kontumensis,Calameae,Calamoideae,1,0,0,both,,3,0.9,0,1,,0.3,0.3,,3.5,,,2,,,small,globose,orange,overlapping scales,,,
Calamus koordersianus,Calamus,koordersianus,Calameae,Calamoideae,1,0,0,canopy,,,,0,1,,,,,,,,,,,,ovoid,,overlapping scales,,,
Calamus lacciferus,Calamus,lacciferus,Calameae,Calamoideae,1,0,0,canopy,0,15,4,0,1,,1.6,1.6,,2,,,2,,,small,globose,yellowish,overlapping scales,,,
Calamus laevigatus,Calamus,laevigatus,Calameae,Calamoideae,1,0,0,canopy,1,30,2,0,1,,1,1,,1.2,,,1,,,small,,yellowish; glossy yellowish brown,overlapping scales,,,palmpedia
Calamus lakshmanae,Calamus,lakshmanae,Calameae,Calamoideae,1,0,0,canopy,0,20,2.5,0,1,,1.4,1.4,,1,,,0.7,,,small,ovoid,brownish yellow,overlapping scales,,,
Calamus lambirensis,Calamus,lambirensis,Calameae,Calamoideae,1,0,0,both,0,3,1,0,1,,0.75,0.75,,0.7,,,0.7,,,small,elongate,,overlapping scales,,,
Calamus laoensis,Calamus,laoensis,Calameae,Calamoideae,1,0,0,canopy,0,40,5,0,1,,2,2,,2,,,1.2,,,small,globose,brown,overlapping grooved scales,,,
Calamus lateralis,Calamus,lateralis,Calameae,Calamoideae,1,0,0,canopy,1,70,5.5,0,1,,1.4,1.4,,2,,,2,,,small,,reddish brown,overlapping scales,,,
Calamus latifolius,Calamus,latifolius,Calameae,Calamoideae,1,0,0,canopy,0,20,3,0,1,,2.5,2.5,,,,,,,,,globose,,overlapping scales,,,
Calamus latispinus,Calamus,latispinus,Calameae,Calamoideae,1,0,0,canopy,,,,0,1,,,,,,,,,,,,,,overlapping scales,,,
Calamus lauterbachii,Calamus,lauterbachii,Calameae,Calamoideae,1,0,0,canopy,,,,0,1,,,,,,,,,,,,globose,,overlapping scales,,,
Calamus laxissimus,Calamus,laxissimus,Calameae,Calamoideae,2,0,2,understorey,1,3,0.7,0,1,,2,2,,,,,,,,,ovoid,,overlapping scales,,,
Calamus ledermannianus,Calamus,ledermannianus,Calameae,Calamoideae,1,0,0,canopy,,,,0,1,,,,,,,,,,,,globose,,overlapping scales,,,
Calamus leiocaulis,Calamus,leiocaulis,Calameae,Calamoideae,1,0,0,canopy,,,,0,1,,,,,,,,,,,,ovoid,,overlapping scales,,,
